SMILES,logKow
CC(=O)C(=Cc1ccc(Cl)cc1)C(C)=O,2.32
CCOC(=O)C(=Cc1ccc(Cl)cc1)C(C)=O,3.04
NC(=O)C(=Cc1ccccc1)C(N)=O,-0.13
COC(=O)Cc1cccs1,1.51
COC(=O)c1cccc(O)c1,1.89
O=S1(=O)N=CNc2ccc(Cl)cc21,1.07
O=S1(=O)NC=Nc2cc(Cl)ccc21,1.01
CNC1CCc2ccccc2C1,2.38
S=C=NCc1ccc2ccccc2c1,4.42
CCOC(=O)n1c(-c2cscn2)nc2ccccc21,2.51
CNP(=O)(OC)Oc1ccc(C(C)(C)C)cc1,2.71
CNP(=O)(OC)Oc1cccc(C(C)(C)C)c1,2.65
CC(=O)Nc1ccccc1I,1.62
CCOC(=O)C(C(=O)OCC)=C1SCCS1,2.45
CNP(=O)(OC)Oc1ccccc1Cl,1.61
CC(C)Oc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl,4.8
CNP(=O)(OC)Oc1ccc(Cl)cc1,1.85
CNC(=O)C(NC(C)=O)C(C)C,-0.35
COC(=O)C(C(=O)OC)=C1SCCS1,1.51
O=[N+]([O-])c1ccc2c(c1)NCC2,1.92
CC(C)NCc1cccnc1,0.82
CCCNCc1cccnc1,0.9
CCNCCc1cccnc1,0.54
Clc1cnc(Cl)cn1,1.58
c1ccc(-c2nonc2-c2ccccc2)cc1,3.83
CNc1nc2ccccc2o1,1.82
O=[N+]([O-])c1cc[n+]([O-])c2c(F)cccc12,1
CCN1CCCCCC1=O,0.65
S=C1C=CN=CC1,0.2
COc1ccc(NS(=O)(=O)c2ccc(N)cc2)cc1,1.51
COc1ccccc1NS(=O)(=O)c1ccc(N)cc1,1.56
Nc1ccc(S(=O)(=O)Nc2ccccc2Cl)cc1,2
Nc1ccc(S(=O)(=O)Nc2ccccc2[N+](=O)[O-])cc1,2.11
N#Cc1cnccn1,-0.01
O=c1cc(-c2ccc(O)c(O)c2)oc2cccc(O)c12,3.31
O=C1CC(O)=NC1c1ccccc1,0.48
COc1ccc(NC(=O)N(C)C)cc1Cl,1.64
CCNC(C)C,0.93
CC12CC3CC(C)(C1)CC(N)(C3)C2,3.28
Clc1c(Cl)c(Cl)c2ccccc2c1Cl,5.75
CC1=Nc2ccc(C(F)(F)F)cc2S(=O)(=O)N1,1.51
CCCCCCCCCCCc1ccccc1O,7.17
CCCCCCCCCCCc1cccc(O)c1,6.98
CCCCCCCCCCCc1ccc(O)cc1,7.18
C=C(CC(Cl)(Cl)Cl)c1ccccc1,4.56
O=C(CCl)Nc1ccc(Cl)c(Cl)c1,3.29
CNCc1cccnc1,0.39
CCCCNCc1cccnc1,1.34
CC(C)N(Cc1cccnc1)C(C)C,2.27
NCCc1cccnc1,-0.11
CN(C)CCc1cccnc1,0.82
c1cncc(CCN2CCCC2)c1,1.34
CCN(CC)CCc1cccnc1,1.23
CCCCNCCC,2.12
Nc1nc(=O)c2ccccc2[nH]1,0.6
CCCC(CC)C(=O)O,2.23
COc1ccccc1N=NN(C)C,2.34
CN(C)N=Nc1ccccc1Cl,3.03
Cc1cccc(N=NN(C)C)c1,2.85
CN(C)N=Nc1cccc(Cl)c1,3.44
CN(C)N=Nc1cccc([N+](=O)[O-])c1,2.75
CN(C)N=Nc1cccc(C(=O)O)c1,2.03
CC(C)c1cccc(-c2ccccc2)c1,5.33
COc1ccc(Cc2cnc(N)nc2N)cc1,1.34
CCCCCCCCCCCC(=O)OCC(CC)CCCC,8.03
NC(=S)c1cccs1,1.34
CCOc1ccccc1C(=O)N1CCCCC1,2.6
CC(=O)Nc1ccc(C(C)(C)C)cc1,3.05
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1,1.57
CC(C)N(C(=O)c1ccccc1)C(C)C,2.5
O=[N+]([O-])c1cc(Cl)c(O)c(Cl)c1Cl,3.93
O=S1(=O)NC(C2CCCC2)=Nc2ccccc21,1.83
O=S1(=O)N=C(Cc2ccccc2)Nc2ccccc21,1.89
CC(=O)C=Cc1ccc(Br)cc1,3.03
O=C(OCCOCCO)c1ccccc1,1.16
CCCCNC(=O)NN,-0.6
CCCN(CC)CCC,2.68
COC(=O)Nc1c(C)cccc1C,1.69
COC(=O)Nc1ccccc1Cl,2.16
CCN(CC)CCN(C=O)c1c(C)cccc1C,3.21
